<pre>kstessel;20160114;9;Design of the Layout
kstessel;20160115;3;Fehlerbehebung
kstessel;20160116;7;Design of the Layout - finish v.1
swanke;20160316;3;Design of the Layout - finish v.2
kstessel;20170127;1;Redesign Layout
swanke;20170127;4;Designfehler beheben
mschrempf;20170128;8;Datenbankenimplementierung
mschrempf;20170129;4;Datenbankenimplementierung
kstessel;20170130;7;Datenbankzugriff vollenden
swanke;20170202;2;Impressum bearbeiten
kstessel;20170202;2;TextViews benennen
mschrempf;20170202;2;Datenbank insert, Update
</pre>
